Height;Weight;Male
151.765;47.8256065;1
139.7;36.4858065;0
136.525;31.864838;0
156.845;53.0419145;1
145.415;41.276872;0
163.83;62.992589;1
149.225;38.2434755;0
168.91;55.4799715;1
147.955;34.869885;0
165.1;54.487739;1
154.305;49.89512;0
151.13;41.220173;1
144.78;36.0322145;0
149.9;47.7;0
150.495;33.849303;0
163.195;48.5626935;1
157.48;42.3258035;1
143.9418;38.3568735;0
121.92;19.617854;1
105.41;13.947954;0
86.36;10.489315;0
161.29;48.987936;1
156.21;42.7226965;0
129.54;23.586784;1
109.22;15.989118;0
146.4;35.493574;1
148.59;37.9032815;0
147.32;35.4652245;0
137.16;27.328918;1
125.73;22.6796;0
125.73;22.6796;0
114.3;17.860185;1
147.955;40.312989;1
161.925;55.111428;1
146.05;37.5063885;0
146.05;38.498621;0
152.7048;46.606578;0
142.875;38.838815;0
142.875;35.5786225;0
147.955;47.400364;0
160.655;47.8823055;1
151.765;49.4131785;1
162.8648;49.384829;1
171.45;56.5572525;1
147.32;39.12231;0
147.955;49.89512;0
144.78;28.803092;0
121.92;20.41164;1
128.905;23.359988;0
97.79;13.267566;0
154.305;41.2485225;1
143.51;38.55532;0
146.7;42.4;1
157.48;44.6504625;1
127;22.0105518;1
110.49;15.422128;0
97.79;12.757275;0
165.735;58.5984165;1
152.4;46.719976;0
141.605;44.22522;0
70.4;46.719976;0
80.605;44.22522;0
